"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Aruba","ABW","Agriculture, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.548947849954254","0.556844547563805","0.533570475767008","0.477516912057302","0.437550591787175","0.418398193312708","0.444303703392541","0.438174326067126","0.434712306276276","0.435108327589824","0.425777821391383","0.421318232396316","0.43133635892444","0.449521757472763","0.427988230884726","0.506252444825802","0.498384330897067","0.512418426798229","","","",
"Andorra","AND","Agriculture, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Agriculture, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.4719400554489","37.765443520528","30.2716744808992","31.7509905266807","29.2497367774722","30.6228536629332","25.3947405394405","30.2056024626672","27.0915400031427","24.5074404236266","24.6032470745729","23.558336172105","",
"Angola","AGO","Agriculture, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","13.5487072818701","14.3884051598419","12.8572271281698","15.9170051288085","19.1493044549013","17.9380112938455","24.0260371468552","10.1380745224135","11.5577360142585","6.64603602468825","7.31227865534881","7.02686916586973","9.00201794169947","13.0337582807876","6.29025682837342","5.66468956353548","8.15637702246655","9.35878915434955","9.51973753730871","9.18146210689285","8.4899938163098","7.66451110877258","7.86027246916891","6.64221600701671","10.2020847987473","9.84218449994439","9.28970279396803","9.91963366433366","10.833140389813","",
"Albania","ALB","Agriculture, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","","","","","","","","","","","","","","","","33.6002062235054","32.4002985673875","31.6997106382979","34.1000975322665","33.0999407246037","34.6000123999766","34.0000001177688","33.200024785395","31.4998818438382","32.3001974876726","35.9007902152057","39.2952952243109","51.6418702419358","54.6409764832608","53.620980615815","55.8121447107917","33.0256098917591","33.6221470362529","32.6027193687555","29.5091852365138","29.1305832105786","26.9539376161538","26.3116220197375","23.9962071326546","23.4999989302896","22.8","22","20.6505960162747","19.4205347262426","19.4097808249137","20.6581888472123","20.9581237293397","21.8260043297188","21.8281125574303","",
"Andean Region","ANR","Agriculture, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Agriculture, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","","","","","","","","","","","7.23036276505297","6.96336096751374","6.77351633320511","6.78707219320619","5.92586333713582","6.27392381612228","6.23231502823371","6.47931853825711","6.52787622452319","6.7134479079772","7.82534755288506","8.73919203096358","9.08541753550512","9.40768820205979","9.30348818464146","9.45414740110055","9.30106786364457","9.15234462382418","9.14357336429049","9.04662138412958","8.71893124031238","9.20818397681533","8.65062953616292","9.59974591214366","9.04502262103068","8.07007327948694","8.43714722600821","8.14980793867462","7.88983516631509","7.73011940290343","7.04074277203337","6.86162519781614","6.37215767668504","5.57147063880421","6.54729241017325","6.06015113564967","5.91464760381934","6.19819799078354","","",
"United Arab Emirates","ARE","Agriculture, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","","","","","","","","","","","0.540188294205409","0.545088280601967","0.485156877691024","0.629067480796601","0.54722317809093","0.490602457342951","0.548306764658785","0.640366457885388","0.730600581680254","0.842471510389179","0.925826534993559","1.18452414390845","1.14322934213777","1.19773519163763","1.19302579195627","1.0584284754869","1.29776800811633","1.37862107758448","1.48090107737512","1.83042501688033","1.78706830470903","1.79243187203791","2.00402186456958","2.18089049130306","2.33324519711343","2.26265009303746","2.23820016235649","2.20332258864369","1.92768393253654","1.66536190905993","1.39541334748446","1.09429632063397","0.976671167666283","0.82730541146641","1.03177547881649","0.851872841304768","0.730658579274464","0.7352239531324","","",
"Argentina","ARG","Agriculture, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","12.9041629859074","10.2785862888398","9.9803863210813","9.72127698841584","9.18589272711774","9.63756096415116","10.8659477491418","10.9848698708589","11.9525477984138","10.230837748201","6.58391049185771","8.15217071224607","8.08714211406449","7.50442747786519","7.79627735903211","6.35350500480665","6.47552296064522","9.59615604621897","8.65832496118367","8.3459768371011","7.63430725730443","7.80040264019792","8.09435846444628","8.97786821775225","9.61606509643166","8.12367620787489","6.71649176923611","5.99078709966958","5.49202480653663","4.66241240440197","4.90906307498197","5.08252072253451","4.81158207976819","4.8050173024178","4.10407446942088","4.31008155530889","4.28804987811183","9.30463693432854","9.75127265128375","9.00967343743564","8.44257098750021","7.69751670690949","8.78110681605442","7.2278862209118","6.23480530673769","8.17798644213636","7.78921139713327","6.90945361795394","6.97909709506257","",
"Armenia","ARM","Agriculture, value added (% of GDP)","NV.AGR.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.3762697212016","24.9734607218684","31.0427206295672","51.3655909174216","44.8709973040704","42.2553129522207","36.825962722325","31.9686774327641","33.9957279656846","29.4640212814989","25.5478701562349","28.3281547063999","25.9618988244082","23.6820980482327","24.662200003318","20.892517379789","20.4510979086758","20.2820602192449","18.3981208906774","18.9138922965675","19.1530515742164","22.8154155645177","21.5650911081498","21.9375600348541","",
